,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,clusters,cluster
441,30.0,2,2,0.03,1,358,1,purple
442,43.0,60,13,0.32,3,281,1,purple
443,100.0,60,45,0.47,1,1,0,pink
444,55.0,61,41,0.5,1,326,1,purple
445,38.0,3,12,0.12,1,0,0,pink
446,84.0,5,2,0.09,1,223,1,purple
447,57.0,4,231,2.38,1,301,1,purple
448,110.0,3,65,0.75,1,0,0,pink
449,65.0,3,36,0.45,1,340,1,purple
450,126.0,3,111,1.09,1,10,0,pink
451,121.0,2,37,0.4,1,0,0,pink
452,93.0,2,245,2.81,5,296,1,purple
453,52.0,90,139,1.42,3,193,1,purple
454,32.0,60,78,1.05,3,116,0,pink
455,107.0,1,89,0.89,1,286,1,purple
456,70.0,60,17,0.17,3,211,1,purple
457,45.0,2,42,0.44,1,364,1,purple
458,55.0,14,4,0.05,1,0,0,pink
459,78.0,4,214,2.12,1,325,1,purple
460,50.0,1,3,0.04,1,0,0,pink
461,45.0,3,5,0.06,1,0,0,pink
462,79.0,4,81,0.82,1,326,1,purple
463,116.0,3,281,3.18,1,26,0,pink
464,64.0,5,72,0.69,3,358,1,purple
465,35.0,2,213,2.1,1,190,1,purple
466,69.0,5,193,1.89,1,218,1,purple
467,65.0,150,177,1.69,2,163,1,purple
468,120.0,120,0,0.72,1,365,1,purple
469,150.0,7,1,0.06,1,0,0,pink
470,206.0,3,2,0.03,1,275,1,purple
471,99.0,5,0,0.72,1,0,0,pink
472,32.0,56,64,0.68,3,218,1,purple
473,75.0,61,20,0.31,3,338,1,purple
474,75.0,61,20,0.22,3,346,1,purple
475,85.0,3,2,0.03,1,0,0,pink
476,33.0,3,300,2.94,1,46,0,pink
477,159.0,3,0,0.72,1,365,1,purple
478,80.0,4,35,0.57,4,2,0,pink
479,86.0,4,26,0.47,4,0,0,pink
480,30.0,1,2,0.02,1,0,0,pink
481,60.0,1,1,0.01,1,0,0,pink
482,51.0,2,67,0.68,1,0,0,pink
483,50.0,1,0,0.72,1,365,1,purple
484,83.0,22,2,0.08,2,0,0,pink
485,79.0,3,14,0.15,1,0,0,pink
486,45.0,2,456,4.65,1,10,0,pink
487,47.0,3,1,0.02,1,0,0,pink
488,82.0,5,17,0.27,1,0,0,pink
489,91.0,5,10,0.12,1,0,0,pink
490,100.0,1,28,0.49,1,0,0,pink
491,69.0,3,167,1.77,2,76,0,pink
