,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Price category,Rental availability,Host type
176,Tempelhof - Schöneberg,52.48471,13.35982,Entire home/apt,65.0,3,40,0.81,2,1,Low price,Short term,Private host
177,Tempelhof - Schöneberg,52.42191,13.37495,Entire home/apt,62.0,5,31,0.35,1,306,Low price,Long term,Private host
178,Charlottenburg-Wilm.,52.51792,13.30729,Entire home/apt,61.0,3,10,0.17,4,298,Low price,Long term,Commercial host
179,Tempelhof - Schöneberg,52.47013,13.34851,Entire home/apt,75.0,3,11,0.21,4,278,Low price,Long term,Commercial host
180,Mitte,52.49953,13.36546,Entire home/apt,98.0,3,22,0.52,4,286,Middle price,Long term,Commercial host
181,Tempelhof - Schöneberg,52.48538,13.34681,Entire home/apt,61.0,5,16,0.24,1,293,Low price,Long term,Private host
182,Spandau,52.51432,13.17765,Private room,40.0,1,52,0.53,1,145,Low price,Middle term,Private host
183,Mitte,52.53777,13.39144,Entire home/apt,64.0,4,90,0.94,1,49,Low price,Short term,Private host
184,Friedrichshain-Kreuzberg,52.51348,13.45097,Entire home/apt,56.0,60,2,0.02,1,172,Low price,Middle term,Private host
185,Tempelhof - Schöneberg,52.49785,13.35059,Private room,25.0,2,147,1.38,1,74,Low price,Short term,Private host
186,Friedrichshain-Kreuzberg,52.51182,13.47093,Private room,35.0,2,40,0.37,3,126,Low price,Middle term,Commercial host
187,Friedrichshain-Kreuzberg,52.51182,13.47093,Private room,30.0,2,177,1.84,3,0,Low price,Short term,Commercial host
188,Friedrichshain-Kreuzberg,52.51182,13.47093,Private room,30.0,2,56,0.61,3,0,Low price,Short term,Commercial host
189,Friedrichshain-Kreuzberg,52.50433,13.43498,Entire home/apt,80.0,93,95,0.88,3,230,Middle price,Long term,Commercial host
190,Friedrichshain-Kreuzberg,52.49738,13.41322,Entire home/apt,50.0,93,103,0.96,3,255,Low price,Long term,Commercial host
191,Neukölln,52.48584,13.42869,Private room,18.0,6,14,0.37,1,0,Low price,Short term,Private host
192,Friedrichshain-Kreuzberg,52.50786,13.46703,Entire home/apt,61.0,2,183,2.66,1,127,Low price,Middle term,Private host
193,Friedrichshain-Kreuzberg,52.49707,13.3849,Entire home/apt,66.0,3,132,1.14,1,278,Low price,Long term,Private host
194,Friedrichshain-Kreuzberg,52.49769,13.44399,Entire home/apt,95.0,2,223,2.87,1,5,Middle price,Short term,Private host
195,Tempelhof - Schöneberg,52.39203,13.41021,Entire home/apt,58.0,3,76,0.85,2,298,Low price,Long term,Private host
196,Friedrichshain-Kreuzberg,52.50702,13.46821,Entire home/apt,85.0,4,128,1.28,1,18,Middle price,Short term,Private host
197,Friedrichshain-Kreuzberg,52.49581,13.41933,Private room,36.0,1,91,0.85,1,356,Low price,Long term,Private host
198,Tempelhof - Schöneberg,52.46387,13.34225,Entire home/apt,65.0,2,103,1.06,3,241,Low price,Long term,Commercial host
199,Pankow,52.53949,13.41615,Entire home/apt,108.0,1,173,1.74,1,1,Middle price,Short term,Private host
200,Mitte,52.51893,13.39413,Entire home/apt,136.0,7,75,0.8,1,169,Middle price,Middle term,Private host
201,Neukölln,52.4894,13.42763,Private room,29.0,2,15,0.49,1,162,Low price,Middle term,Private host
202,Pankow,52.53237,13.41548,Entire home/apt,76.0,3,560,5.01,2,53,Low price,Short term,Private host
203,Friedrichshain-Kreuzberg,52.50977,13.44602,Private room,123.0,1,48,0.71,26,293,Middle price,Long term,Commercial host
204,Friedrichshain-Kreuzberg,52.50977,13.44602,Private room,50.0,1,7,0.1,26,34,Low price,Short term,Commercial host
205,Friedrichshain-Kreuzberg,52.50977,13.44602,Private room,64.0,1,43,0.76,26,315,Low price,Long term,Commercial host
206,Friedrichshain-Kreuzberg,52.50977,13.44602,Shared room,27.0,1,49,0.64,26,293,Low price,Long term,Commercial host
207,Friedrichshain-Kreuzberg,52.50977,13.44602,Shared room,45.0,1,17,0.2,26,324,Low price,Long term,Commercial host
208,Tempelhof - Schöneberg,52.49015,13.35158,Entire home/apt,42.0,93,11,0.13,1,161,Low price,Middle term,Private host
209,Treptow - Köpenick,52.44987,13.48777,Entire home/apt,85.0,3,9,0.11,1,162,Middle price,Middle term,Private host
210,Pankow,52.54424,13.42139,Entire home/apt,65.0,2,133,1.49,1,233,Low price,Long term,Private host
211,Treptow - Köpenick,52.41733,13.54189,Entire home/apt,48.0,3,26,0.32,1,5,Low price,Short term,Private host
212,Neukölln,52.41975,13.48541,Entire home/apt,59.0,3,24,0.24,1,249,Low price,Long term,Private host
213,Friedrichshain-Kreuzberg,52.49667,13.40044,Entire home/apt,65.0,1,2,0.06,1,0,Low price,Short term,Private host
214,Pankow,52.54345,13.41654,Entire home/apt,52.0,3,224,1.99,1,324,Low price,Long term,Private host
215,Mitte,52.53869,13.40172,Entire home/apt,69.0,10,99,1.38,1,28,Low price,Short term,Private host
216,Mitte,52.54182,13.3527,Entire home/apt,65.0,3,8,0.09,2,103,Low price,Middle term,Private host
217,Mitte,52.54265,13.35516,Entire home/apt,64.0,5,18,0.17,2,134,Low price,Middle term,Private host
218,Mitte,52.51952,13.3513,Entire home/apt,79.0,25,65,0.59,1,189,Low price,Long term,Private host
219,Neukölln,52.48366,13.43928,Entire home/apt,40.0,21,4,0.04,1,173,Low price,Middle term,Private host
220,Mitte,52.52898,13.40406,Entire home/apt,71.0,5,44,0.39,1,214,Low price,Long term,Private host
221,Charlottenburg-Wilm.,52.50621,13.3048,Private room,29.0,3,0,,1,0,Low price,Short term,Private host
222,Pankow,52.53091,13.41711,Private room,31.0,1,620,5.75,4,312,Low price,Long term,Commercial host
223,Pankow,52.53373,13.42435,Entire home/apt,64.0,2,57,0.53,2,0,Low price,Short term,Private host
224,Pankow,52.53538,13.4296,Entire home/apt,66.0,3,64,0.68,2,0,Low price,Short term,Private host
225,Pankow,52.52987,13.4268,Private room,49.0,3,35,0.4,1,333,Low price,Long term,Private host
226,Pankow,52.55381,13.40553,Private room,32.0,2,245,2.17,2,49,Low price,Short term,Private host
227,Pankow,52.54579,13.40737,Entire home/apt,71.0,3,263,2.62,1,206,Low price,Long term,Private host
228,Pankow,52.53961,13.41951,Entire home/apt,159.0,4,212,1.88,2,178,Middle price,Middle term,Private host
229,Charlottenburg-Wilm.,52.499,13.31127,Entire home/apt,71.0,4,3,0.05,1,0,Low price,Short term,Private host
230,Pankow,52.53639,13.42765,Entire home/apt,65.0,3,12,0.12,1,0,Low price,Short term,Private host
231,Tempelhof - Schöneberg,52.49779,13.35518,Entire home/apt,248.0,3,190,1.78,1,294,Middle price,Long term,Private host
232,Charlottenburg-Wilm.,52.4981,13.29312,Entire home/apt,47.0,30,3,0.2,10,315,Low price,Long term,Commercial host
233,Friedrichshain-Kreuzberg,52.51092,13.46424,Private room,27.0,2,197,1.85,1,0,Low price,Short term,Private host
234,Tempelhof - Schöneberg,52.4719,13.33744,Private room,43.0,2,79,0.74,1,362,Low price,Long term,Private host
235,Mitte,52.53164,13.40554,Entire home/apt,77.0,7,82,0.85,1,167,Low price,Middle term,Private host
236,Friedrichshain-Kreuzberg,52.5181,13.43261,Private room,38.0,4,92,1.08,1,0,Low price,Short term,Private host
237,Tempelhof - Schöneberg,52.46353,13.34404,Entire home/apt,45.0,2,261,2.71,3,262,Low price,Long term,Commercial host
