,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Price category,Rental availability,Host type
14683,Charlottenburg-Wilm.,52.4989,13.32435,Private room,115.0,1,0,,3,225,Middle price,Long term,Commercial host
14684,Mitte,52.52805,13.40921,Entire home/apt,78.0,2,11,0.56,1,0,Low price,Short term,Private host
14685,Mitte,52.55047,13.36418,Entire home/apt,252.0,1,9,0.71,3,336,Middle price,Long term,Commercial host
14686,Neukölln,52.48201,13.43176,Entire home/apt,36.0,2,8,0.42,1,0,Low price,Short term,Private host
14687,Friedrichshain-Kreuzberg,52.48906,13.39013,Private room,35.0,3,0,,1,0,Low price,Short term,Private host
14688,Pankow,52.53899,13.42289,Private room,65.0,1,1,0.05,1,0,Low price,Short term,Private host
14689,Charlottenburg-Wilm.,52.4691,13.31292,Private room,20.0,2,4,0.23,1,31,Low price,Short term,Private host
14690,Pankow,52.53252,13.4285,Private room,50.0,1,9,0.45,1,0,Low price,Short term,Private host
14691,Tempelhof - Schöneberg,52.46738,13.32511,Private room,45.0,1,1,0.05,2,0,Low price,Short term,Private host
14692,Lichtenberg,52.51359,13.49789,Private room,30.0,4,1,0.05,1,0,Low price,Short term,Private host
14693,Charlottenburg-Wilm.,52.51512,13.29842,Entire home/apt,65.0,2,1,0.05,1,0,Low price,Short term,Private host
14694,Mitte,52.55356,13.38552,Private room,40.0,1,0,,1,0,Low price,Short term,Private host
14695,Mitte,52.55356,13.38552,Private room,45.0,2,4,0.2,1,0,Low price,Short term,Private host
14696,Friedrichshain-Kreuzberg,52.50858,13.45779,Private room,21.0,1,2,0.1,1,0,Low price,Short term,Private host
14697,Mitte,52.54633,13.37882,Entire home/apt,50.0,30,0,,1,90,Low price,Short term,Private host
14698,Lichtenberg,52.52513,13.51752,Private room,15.0,1,1,0.05,1,0,Low price,Short term,Private host
14699,Treptow - Köpenick,52.43507,13.548,Private room,20.0,23,0,,1,0,Low price,Short term,Private host
14700,Neukölln,52.47417,13.44035,Entire home/apt,55.0,1,0,,1,0,Low price,Short term,Private host
14701,Friedrichshain-Kreuzberg,52.51105,13.46709,Private room,50.0,2,0,,1,0,Low price,Short term,Private host
14702,Mitte,52.52555,13.34469,Private room,40.0,1,2,0.11,1,8,Low price,Short term,Private host
14703,Mitte,52.51771,13.41921,Entire home/apt,95.0,2,1,0.05,1,0,Middle price,Short term,Private host
14704,Lichtenberg,52.55625,13.50236,Private room,45.0,2,6,0.32,1,362,Low price,Long term,Private host
14705,Friedrichshain-Kreuzberg,52.492,13.43403,Private room,34.0,2,21,1.06,1,0,Low price,Short term,Private host
14706,Charlottenburg-Wilm.,52.50428,13.32078,Private room,80.0,2,16,0.93,3,342,Middle price,Long term,Commercial host
14707,Pankow,52.55019,13.46123,Private room,9.0,4,3,0.17,1,0,Low price,Short term,Private host
14708,Charlottenburg-Wilm.,52.48749,13.32077,Entire home/apt,259.0,1,0,,13,158,Middle price,Middle term,Commercial host
14709,Pankow,52.53658,13.42625,Entire home/apt,50.0,60,1,0.07,2,98,Low price,Middle term,Private host
14710,Pankow,52.53057,13.41946,Entire home/apt,70.0,2,24,1.17,1,106,Low price,Middle term,Private host
14711,Charlottenburg-Wilm.,52.5085,13.31925,Entire home/apt,61.0,10,1,0.05,1,0,Low price,Short term,Private host
14712,Neukölln,52.48258,13.43002,Private room,45.0,7,1,0.06,1,6,Low price,Short term,Private host
14713,Pankow,52.54505,13.43967,Entire home/apt,60.0,4,2,0.11,1,0,Low price,Short term,Private host
14714,Friedrichshain-Kreuzberg,52.51971,13.46044,Private room,20.0,6,2,0.1,2,0,Low price,Short term,Private host
14715,Neukölln,52.47722,13.43947,Entire home/apt,90.0,1,1,0.05,2,179,Middle price,Middle term,Private host
14716,Friedrichshain-Kreuzberg,52.50998,13.46403,Entire home/apt,50.0,2,5,0.25,3,0,Low price,Short term,Commercial host
14717,Tempelhof - Schöneberg,52.49805,13.34874,Entire home/apt,3000.0,1,0,,1,88,High price,Short term,Private host
14718,Treptow - Köpenick,52.42797,13.5816,Entire home/apt,35.0,6,7,0.44,76,316,Low price,Long term,Commercial host
14719,Tempelhof - Schöneberg,52.46906,13.33516,Entire home/apt,124.0,14,3,0.17,10,66,Middle price,Short term,Commercial host
14720,Mitte,52.55386,13.38891,Private room,734.0,3,8,0.39,1,0,High price,Short term,Private host
14721,Friedrichshain-Kreuzberg,52.513,13.45343,Entire home/apt,85.0,3,4,0.21,1,0,Middle price,Short term,Private host
14722,Neukölln,52.46767,13.43218,Entire home/apt,130.0,3,1,0.05,1,0,Middle price,Short term,Private host
14723,Mitte,52.51074,13.39513,Entire home/apt,729.0,6,0,,1,0,High price,Short term,Private host
14724,Pankow,52.53246,13.41873,Private room,108.0,1,137,7.14,6,326,Middle price,Long term,Commercial host
14725,Pankow,52.53246,13.41873,Private room,123.0,1,118,6.46,6,329,Middle price,Long term,Commercial host
14726,Pankow,52.53246,13.41873,Entire home/apt,234.0,1,25,1.34,6,260,Middle price,Long term,Commercial host
14727,Pankow,52.53246,13.41873,Entire home/apt,165.0,1,47,2.55,6,338,Middle price,Long term,Commercial host
14728,Mitte,52.54016,13.39626,Private room,60.0,3,0,,1,89,Low price,Short term,Private host
14729,Pankow,52.53246,13.41873,Entire home/apt,167.0,1,95,4.9,6,326,Middle price,Long term,Commercial host
14730,Friedrichshain-Kreuzberg,52.49523,13.44115,Entire home/apt,110.0,1,1,0.06,2,0,Middle price,Short term,Private host
14731,Friedrichshain-Kreuzberg,52.51008,13.46356,Private room,50.0,2,0,,3,0,Low price,Short term,Commercial host
14732,Lichtenberg,52.50688,13.48083,Private room,25.0,2,2,0.1,1,87,Low price,Short term,Private host
14733,Mitte,52.51867,13.3878,Entire home/apt,79.0,2,4,0.22,1,52,Low price,Short term,Private host
14734,Neukölln,52.47574,13.42467,Entire home/apt,37.0,3,7,0.63,2,0,Low price,Short term,Private host
14735,Mitte,52.52876,13.39799,Entire home/apt,158.0,4,1,0.05,1,228,Middle price,Long term,Private host
14736,Friedrichshain-Kreuzberg,52.49288,13.39527,Private room,90.0,1,0,,1,179,Middle price,Middle term,Private host
14737,Treptow - Köpenick,52.44294,13.59792,Entire home/apt,40.0,3,11,0.8,1,126,Low price,Middle term,Private host
14738,Friedrichshain-Kreuzberg,52.49125,13.39714,Private room,100.0,1,0,,2,362,Middle price,Long term,Private host
14739,Pankow,52.54833,13.42567,Private room,61.0,1,0,,1,364,Low price,Long term,Private host
14740,Pankow,52.54631,13.4201,Private room,55.0,1,0,,1,0,Low price,Short term,Private host
14741,Friedrichshain-Kreuzberg,52.4865,13.39606,Private room,25.0,6,0,,2,295,Low price,Long term,Private host
14742,Friedrichshain-Kreuzberg,52.51988,13.43631,Private room,20.0,3,2,0.1,1,0,Low price,Short term,Private host
14743,Mitte,52.52533,13.40514,Private room,35.0,2,7,0.42,1,71,Low price,Short term,Private host
14744,Mitte,52.52962,13.35174,Private room,80.0,1,9,0.69,1,89,Middle price,Short term,Private host
14745,Mitte,52.53062,13.39913,Entire home/apt,49.0,60,2,0.12,20,285,Low price,Long term,Commercial host
14746,Tempelhof - Schöneberg,52.49352,13.34402,Private room,39.0,5,4,0.31,1,56,Low price,Short term,Private host
14747,Neukölln,52.48975,13.42735,Entire home/apt,110.0,3,16,0.92,2,316,Middle price,Long term,Private host
14748,Tempelhof - Schöneberg,52.4833,13.36084,Private room,25.0,20,0,,1,89,Low price,Short term,Private host
14749,Charlottenburg-Wilm.,52.50777,13.30362,Private room,50.0,2,0,,1,0,Low price,Short term,Private host
14750,Charlottenburg-Wilm.,52.50611,13.29034,Private room,30.0,1,1,0.05,1,0,Low price,Short term,Private host
14751,Friedrichshain-Kreuzberg,52.5088,13.45332,Private room,40.0,2,7,0.35,1,0,Low price,Short term,Private host
14752,Pankow,52.53862,13.41006,Private room,40.0,1,126,6.42,1,121,Low price,Middle term,Private host
14753,Mitte,52.52394,13.40124,Entire home/apt,319.0,1,40,2.96,6,195,High price,Long term,Commercial host
14754,Tempelhof - Schöneberg,52.46416,13.4206,Private room,40.0,1,1,0.05,1,365,Low price,Long term,Private host
14755,Pankow,52.54687,13.4258,Entire home/apt,56.0,3,24,1.38,10,360,Low price,Long term,Commercial host
14756,Mitte,52.52035,13.38905,Private room,50.0,1,1,0.05,1,0,Low price,Short term,Private host
14757,Tempelhof - Schöneberg,52.49588,13.34359,Private room,49.0,2,27,1.47,1,5,Low price,Short term,Private host
14758,Neukölln,52.48078,13.42477,Entire home/apt,38.0,26,0,,1,2,Low price,Short term,Private host
14759,Friedrichshain-Kreuzberg,52.48698,13.38015,Entire home/apt,90.0,14,0,,1,56,Middle price,Short term,Private host
14760,Friedrichshain-Kreuzberg,52.49409,13.39394,Private room,50.0,3,0,,1,85,Low price,Short term,Private host
14761,Friedrichshain-Kreuzberg,52.4984,13.43688,Entire home/apt,50.0,2,11,0.56,1,0,Low price,Short term,Private host
14762,Pankow,52.5521,13.41153,Entire home/apt,84.0,62,0,,17,326,Middle price,Long term,Commercial host
14763,Pankow,52.53422,13.42322,Private room,45.0,1,4,0.2,1,90,Low price,Short term,Private host
14764,Friedrichshain-Kreuzberg,52.50785,13.45475,Private room,50.0,2,3,0.15,1,0,Low price,Short term,Private host
14765,Treptow - Köpenick,52.49029,13.44805,Entire home/apt,49.0,1,41,2.08,1,342,Low price,Long term,Private host
14766,Friedrichshain-Kreuzberg,52.50168,13.41573,Entire home/apt,50.0,1,2,0.1,1,0,Low price,Short term,Private host
14767,Pankow,52.5314,13.4273,Entire home/apt,87.0,30,1,0.07,8,241,Middle price,Long term,Commercial host
14768,Lichtenberg,52.50806,13.52079,Private room,50.0,1,1,0.05,1,0,Low price,Short term,Private host
14769,Tempelhof - Schöneberg,52.46926,13.33476,Entire home/apt,90.0,14,3,0.22,10,51,Middle price,Short term,Commercial host
14770,Pankow,52.53148,13.42851,Entire home/apt,87.0,30,1,0.06,8,250,Middle price,Long term,Commercial host
14771,Friedrichshain-Kreuzberg,52.49808,13.43674,Entire home/apt,191.0,1,27,1.63,2,73,Middle price,Short term,Private host
14772,Charlottenburg-Wilm.,52.4784,13.32789,Shared room,31.0,1,0,,1,362,Low price,Long term,Private host
14773,Tempelhof - Schöneberg,52.46944,13.33534,Entire home/apt,114.0,14,1,0.06,10,51,Middle price,Short term,Commercial host
14774,Friedrichshain-Kreuzberg,52.51618,13.46528,Private room,40.0,13,2,0.11,1,88,Low price,Short term,Private host
14775,Friedrichshain-Kreuzberg,52.51214,13.46038,Private room,40.0,2,0,,1,0,Low price,Short term,Private host
14776,Lichtenberg,52.50461,13.49036,Entire home/apt,35.0,3,1,0.09,2,0,Low price,Short term,Private host
14777,Tempelhof - Schöneberg,52.48578,13.35336,Entire home/apt,60.0,2,2,0.1,1,0,Low price,Short term,Private host
14778,Friedrichshain-Kreuzberg,52.52441,13.44332,Private room,50.0,3,2,0.1,1,0,Low price,Short term,Private host
14779,Friedrichshain-Kreuzberg,52.51183,13.46165,Entire home/apt,85.0,2,4,0.21,1,0,Middle price,Short term,Private host
14780,Treptow - Köpenick,52.48658,13.46401,Entire home/apt,40.0,20,1,0.06,1,0,Low price,Short term,Private host
14781,Pankow,52.53705,13.41529,Private room,40.0,7,3,0.15,1,75,Low price,Short term,Private host
14782,Mitte,52.52073,13.41819,Private room,24.0,10,1,0.06,3,156,Low price,Middle term,Commercial host
14783,Pankow,52.52968,13.41961,Entire home/apt,70.0,3,2,0.11,2,0,Low price,Short term,Private host
14784,Pankow,52.54458,13.41711,Private room,30.0,5,2,0.12,2,0,Low price,Short term,Private host
14785,Mitte,52.52841,13.38783,Entire home/apt,65.0,60,0,,6,102,Low price,Middle term,Commercial host
14786,Pankow,52.53612,13.44173,Private room,40.0,2,17,0.85,2,45,Low price,Short term,Private host
14787,Tempelhof - Schöneberg,52.49433,13.34795,Entire home/apt,28.0,10,0,,1,0,Low price,Short term,Private host
14788,Mitte,52.56471,13.38844,Entire home/apt,70.0,7,1,0.05,1,0,Low price,Short term,Private host
14789,Charlottenburg-Wilm.,52.49096,13.30541,Private room,30.0,5,0,,1,0,Low price,Short term,Private host
14790,Reinickendorf,52.57842,13.27526,Private room,65.0,1,0,,1,361,Low price,Long term,Private host
14791,Friedrichshain-Kreuzberg,52.51095,13.47141,Entire home/apt,75.0,3,5,0.3,1,3,Low price,Short term,Private host
14792,Lichtenberg,52.51382,13.49065,Private room,25.0,7,1,0.05,1,0,Low price,Short term,Private host
14793,Pankow,52.53905,13.44632,Entire home/apt,44.0,60,1,0.1,4,193,Low price,Long term,Commercial host
14794,Neukölln,52.47179,13.44895,Private room,50.0,1,2,0.1,1,0,Low price,Short term,Private host
14795,Friedrichshain-Kreuzberg,52.49144,13.40768,Entire home/apt,45.0,5,6,0.58,1,0,Low price,Short term,Private host
14796,Mitte,52.51297,13.38032,Entire home/apt,200.0,30,10,0.85,25,309,Middle price,Long term,Commercial host
14797,Neukölln,52.47863,13.44725,Private room,50.0,2,0,,1,0,Low price,Short term,Private host
14798,Steglitz - Zehlendorf,52.43751,13.35466,Entire home/apt,59.0,1,18,0.92,1,266,Low price,Long term,Private host
14799,Friedrichshain-Kreuzberg,52.50348,13.37327,Entire home/apt,145.0,180,0,,1,363,Middle price,Long term,Private host
14800,Tempelhof - Schöneberg,52.4676,13.38727,Entire home/apt,99.0,2,0,,1,0,Middle price,Short term,Private host
14801,Friedrichshain-Kreuzberg,52.51796,13.47317,Entire home/apt,33.0,60,4,0.24,2,263,Low price,Long term,Private host
14802,Friedrichshain-Kreuzberg,52.51397,13.44542,Private room,34.0,2,0,,1,0,Low price,Short term,Private host
14803,Pankow,52.55541,13.43065,Entire home/apt,70.0,30,0,,1,0,Low price,Short term,Private host
14804,Pankow,52.60897,13.45631,Entire home/apt,80.0,1,11,0.57,1,337,Middle price,Long term,Private host
14805,Treptow - Köpenick,52.46584,13.47946,Private room,38.0,2,2,1.33,1,177,Low price,Middle term,Private host
14806,Friedrichshain-Kreuzberg,52.50074,13.43656,Private room,33.0,3,0,,1,0,Low price,Short term,Private host
14807,Mitte,52.55369,13.34154,Entire home/apt,50.0,4,3,0.16,1,0,Low price,Short term,Private host
14808,Treptow - Köpenick,52.46094,13.48075,Private room,45.0,2,2,0.1,1,358,Low price,Long term,Private host
14809,Friedrichshain-Kreuzberg,52.50367,13.4319,Entire home/apt,125.0,61,8,0.41,1,0,Middle price,Short term,Private host
14810,Tempelhof - Schöneberg,52.45745,13.37523,Private room,40.0,1,1,0.05,1,0,Low price,Short term,Private host
14811,Friedrichshain-Kreuzberg,52.48886,13.39266,Entire home/apt,199.0,2,1,0.05,1,0,Middle price,Short term,Private host
14812,Charlottenburg-Wilm.,52.51682,13.32166,Entire home/apt,99.0,2,42,2.11,76,355,Middle price,Long term,Commercial host
14813,Friedrichshain-Kreuzberg,52.50038,13.4176,Entire home/apt,60.0,2,10,0.87,1,0,Low price,Short term,Private host
14814,Mitte,52.52861,13.39844,Private room,40.0,3,11,0.57,1,328,Low price,Long term,Private host
14815,Reinickendorf,52.56657,13.37394,Entire home/apt,50.0,1,2,0.1,3,0,Low price,Short term,Commercial host
14816,Neukölln,52.48885,13.43033,Entire home/apt,70.0,2,9,0.46,1,0,Low price,Short term,Private host
14817,Treptow - Köpenick,52.42657,13.67218,Entire home/apt,69.0,1,0,,7,325,Low price,Long term,Commercial host
14818,Charlottenburg-Wilm.,52.51681,13.30033,Entire home/apt,143.0,1,1,0.05,13,130,Middle price,Middle term,Commercial host
14819,Neukölln,52.49405,13.42197,Entire home/apt,85.0,3,1,1.0,1,10,Middle price,Short term,Private host
14820,Friedrichshain-Kreuzberg,52.5122,13.46351,Private room,50.0,1,8,0.42,1,59,Low price,Short term,Private host
14821,Tempelhof - Schöneberg,52.48426,13.38504,Entire home/apt,123.0,1,22,1.16,1,141,Middle price,Middle term,Private host
14822,Friedrichshain-Kreuzberg,52.51111,13.4664,Entire home/apt,60.0,5,1,0.09,1,0,Low price,Short term,Private host
14823,Friedrichshain-Kreuzberg,52.50692,13.47161,Entire home/apt,219.0,2,0,,1,0,Middle price,Short term,Private host
14824,Treptow - Köpenick,52.43641,13.54476,Entire home/apt,60.0,7,2,0.1,1,38,Low price,Short term,Private host
14825,Pankow,52.53631,13.41979,Private room,50.0,2,2,0.12,1,178,Low price,Middle term,Private host
14826,Pankow,52.54663,13.41059,Entire home/apt,49.0,62,0,,17,303,Low price,Long term,Commercial host
14827,Pankow,52.58822,13.42881,Private room,52.0,2,0,,1,0,Low price,Short term,Private host
14828,Neukölln,52.477,13.432,Private room,20.0,10,2,0.1,2,0,Low price,Short term,Private host
14829,Charlottenburg-Wilm.,52.51785,13.31875,Private room,35.0,14,0,,1,173,Low price,Middle term,Private host
14830,Mitte,52.55155,13.3755,Entire home/apt,50.0,2,2,0.19,1,69,Low price,Short term,Private host
14831,Mitte,52.51042,13.38753,Entire home/apt,67.0,4,4,0.37,1,10,Low price,Short term,Private host
14832,Friedrichshain-Kreuzberg,52.49198,13.4207,Private room,34.0,2,1,0.06,1,41,Low price,Short term,Private host
14833,Mitte,52.55139,13.35183,Private room,37.0,1,1,0.05,1,0,Low price,Short term,Private host
14834,Neukölln,52.44914,13.45416,Entire home/apt,180.0,4,1,0.05,1,8,Middle price,Short term,Private host
14835,Mitte,52.51969,13.41143,Private room,99.0,1,1,0.05,1,90,Middle price,Short term,Private host
14836,Mitte,52.50434,13.36605,Private room,35.0,1,2,0.1,1,0,Low price,Short term,Private host
14837,Neukölln,52.4673,13.42968,Entire home/apt,109.0,10,2,0.23,1,0,Middle price,Short term,Private host
14838,Friedrichshain-Kreuzberg,52.50239,13.38355,Entire home/apt,120.0,2,0,,1,9,Middle price,Short term,Private host
14839,Tempelhof - Schöneberg,52.47297,13.32263,Entire home/apt,35.0,5,3,0.16,1,2,Low price,Short term,Private host
14840,Pankow,52.63866,13.5102,Private room,21.0,30,0,,2,68,Low price,Short term,Private host
14841,Friedrichshain-Kreuzberg,52.49718,13.42614,Entire home/apt,96.0,1,94,4.88,8,334,Middle price,Long term,Commercial host
14842,Pankow,52.54829,13.40299,Private room,35.0,2,8,0.77,1,60,Low price,Short term,Private host
14843,Friedrichshain-Kreuzberg,52.52026,13.45108,Shared room,70.0,1,2,0.11,1,0,Low price,Short term,Private host
14844,Friedrichshain-Kreuzberg,52.5196,13.44755,Private room,20.0,1,6,0.32,1,0,Low price,Short term,Private host
14845,Mitte,52.53578,13.40407,Entire home/apt,350.0,4,0,,1,0,High price,Short term,Private host
14846,Mitte,52.52915,13.38373,Entire home/apt,85.0,60,2,0.1,1,0,Middle price,Short term,Private host
14847,Mitte,52.53157,13.33053,Entire home/apt,70.0,1,3,0.15,1,0,Low price,Short term,Private host
14848,Pankow,52.55574,13.41361,Entire home/apt,58.0,3,3,0.18,1,3,Low price,Short term,Private host
14849,Friedrichshain-Kreuzberg,52.49339,13.41998,Entire home/apt,350.0,5,2,0.11,1,0,High price,Short term,Private host
14850,Friedrichshain-Kreuzberg,52.49463,13.41468,Entire home/apt,110.0,2,0,,1,0,Middle price,Short term,Private host
14851,Marzahn - Hellersdorf,52.53715,13.54371,Entire home/apt,110.0,2,0,,1,43,Middle price,Short term,Private host
14852,Reinickendorf,52.55949,13.36786,Entire home/apt,35.0,3,1,0.06,1,0,Low price,Short term,Private host
14853,Mitte,52.55553,13.36148,Private room,45.0,1,1,0.05,2,179,Low price,Middle term,Private host
14854,Friedrichshain-Kreuzberg,52.50744,13.4701,Entire home/apt,119.0,3,0,,2,0,Middle price,Short term,Private host
14855,Neukölln,52.47245,13.44243,Entire home/apt,33.0,5,2,0.11,1,0,Low price,Short term,Private host
14856,Pankow,52.52988,13.43195,Entire home/apt,180.0,3,2,0.12,1,0,Middle price,Short term,Private host
14857,Charlottenburg-Wilm.,52.51739,13.31576,Private room,13.0,1,9,0.5,3,0,Low price,Short term,Commercial host
14858,Charlottenburg-Wilm.,52.51653,13.30803,Entire home/apt,159.0,2,1,0.05,1,0,Middle price,Short term,Private host
14859,Lichtenberg,52.48182,13.51889,Entire home/apt,145.0,4,1,0.05,1,0,Middle price,Short term,Private host
14860,Pankow,52.53494,13.41039,Entire home/apt,85.0,62,0,,17,286,Middle price,Long term,Commercial host
14861,Mitte,52.55295,13.37164,Entire home/apt,45.0,2,5,0.27,1,0,Low price,Short term,Private host
14862,Charlottenburg-Wilm.,52.50751,13.3183,Entire home/apt,170.0,3,3,0.65,1,96,Middle price,Middle term,Private host
14863,Friedrichshain-Kreuzberg,52.51255,13.45778,Entire home/apt,77.0,3,17,0.86,13,59,Low price,Short term,Commercial host
14864,Neukölln,52.47391,13.45401,Entire home/apt,170.0,5,1,0.05,1,89,Middle price,Short term,Private host
14865,Neukölln,52.45522,13.44416,Entire home/apt,81.0,2,0,,1,40,Middle price,Short term,Private host
14866,Tempelhof - Schöneberg,52.48952,13.34968,Private room,42.0,1,17,0.91,1,0,Low price,Short term,Private host
14867,Pankow,52.53286,13.41878,Entire home/apt,370.0,2,2,0.11,1,285,High price,Long term,Private host
14868,Pankow,52.53184,13.4149,Entire home/apt,489.0,2,2,0.16,4,346,High price,Long term,Commercial host
14869,Treptow - Köpenick,52.43401,13.55183,Entire home/apt,35.0,3,1,0.06,1,83,Low price,Short term,Private host
14870,Neukölln,52.48251,13.44067,Entire home/apt,150.0,3,3,0.18,2,163,Middle price,Middle term,Private host
14871,Pankow,52.55014,13.44747,Private room,55.0,2,2,0.11,2,88,Low price,Short term,Private host
14872,Friedrichshain-Kreuzberg,52.48834,13.38944,Private room,40.0,1,14,0.71,2,0,Low price,Short term,Private host
14873,Friedrichshain-Kreuzberg,52.49098,13.42103,Entire home/apt,80.0,3,3,0.16,2,0,Middle price,Short term,Private host
14874,Neukölln,52.48123,13.42449,Entire home/apt,59.0,5,2,0.12,2,6,Low price,Short term,Private host
14875,Neukölln,52.46672,13.44533,Entire home/apt,99.0,2,4,0.21,1,0,Middle price,Short term,Private host
14876,Mitte,52.50167,13.36737,Entire home/apt,150.0,5,1,0.05,1,0,Middle price,Short term,Private host
14877,Lichtenberg,52.56002,13.49795,Entire home/apt,100.0,1,2,0.11,1,0,Middle price,Short term,Private host
14878,Mitte,52.53206,13.40542,Private room,55.0,2,0,,1,89,Low price,Short term,Private host
14879,Charlottenburg-Wilm.,52.52062,13.30116,Private room,20.0,4,0,,1,0,Low price,Short term,Private host
14880,Mitte,52.52543,13.40851,Private room,28.0,4,13,0.77,2,60,Low price,Short term,Private host
14881,Friedrichshain-Kreuzberg,52.51255,13.45778,Private room,70.0,5,2,0.1,13,83,Low price,Short term,Commercial host
14882,Friedrichshain-Kreuzberg,52.51255,13.45778,Entire home/apt,85.0,3,9,0.76,13,62,Middle price,Short term,Commercial host
14883,Pankow,52.53283,13.41694,Entire home/apt,449.0,2,1,0.08,4,352,High price,Long term,Commercial host
14884,Mitte,52.53543,13.40028,Entire home/apt,75.0,2,4,0.21,1,0,Low price,Short term,Private host
14885,Steglitz - Zehlendorf,52.46288,13.33971,Entire home/apt,100.0,1,0,,1,0,Middle price,Short term,Private host
14886,Friedrichshain-Kreuzberg,52.51099,13.46131,Private room,30.0,3,1,0.05,1,0,Low price,Short term,Private host
14887,Mitte,52.52421,13.39238,Private room,50.0,2,1,0.05,1,0,Low price,Short term,Private host
14888,Pankow,52.53072,13.4156,Entire home/apt,479.0,2,2,0.1,4,365,High price,Long term,Commercial host
14889,Pankow,52.53103,13.41623,Entire home/apt,229.0,2,1,0.06,4,355,Middle price,Long term,Commercial host
14890,Friedrichshain-Kreuzberg,52.51255,13.45778,Entire home/apt,70.0,3,26,1.34,13,61,Low price,Short term,Commercial host
14891,Charlottenburg-Wilm.,52.5108,13.30453,Private room,90.0,1,0,,1,89,Middle price,Short term,Private host
14892,Friedrichshain-Kreuzberg,52.51255,13.45778,Entire home/apt,55.0,3,22,1.13,13,44,Low price,Short term,Commercial host
14893,Pankow,52.53218,13.42027,Entire home/apt,69.0,3,4,0.25,1,0,Low price,Short term,Private host
14894,Reinickendorf,52.56512,13.37682,Private room,25.0,1,10,0.94,1,75,Low price,Short term,Private host
14895,Pankow,52.57767,13.39245,Entire home/apt,80.0,4,0,,2,0,Middle price,Short term,Private host
14896,Pankow,52.5289,13.42298,Private room,29.0,5,4,0.21,1,339,Low price,Long term,Private host
14897,Friedrichshain-Kreuzberg,52.49714,13.4193,Entire home/apt,250.0,1,2,0.11,3,365,Middle price,Long term,Commercial host
14898,Mitte,52.5345,13.39703,Entire home/apt,159.0,3,0,,1,149,Middle price,Middle term,Private host
14899,Reinickendorf,52.56663,13.37633,Entire home/apt,50.0,2,0,,3,0,Low price,Short term,Commercial host
14900,Pankow,52.54839,13.41353,Entire home/apt,40.0,4,6,0.32,1,0,Low price,Short term,Private host
14901,Neukölln,52.48294,13.44315,Entire home/apt,65.0,1,5,0.27,2,13,Low price,Short term,Private host
14902,Lichtenberg,52.50316,13.50542,Entire home/apt,40.0,6,8,0.48,1,4,Low price,Short term,Private host
14903,Friedrichshain-Kreuzberg,52.51284,13.45741,Entire home/apt,80.0,3,1,0.05,1,36,Middle price,Short term,Private host
14904,Mitte,52.54757,13.37412,Private room,90.0,1,1,0.05,1,0,Middle price,Short term,Private host
14905,Pankow,52.53665,13.42614,Entire home/apt,90.0,3,0,,1,0,Middle price,Short term,Private host
14906,Neukölln,52.47832,13.44793,Private room,55.0,4,1,0.05,1,177,Low price,Middle term,Private host
14907,Mitte,52.56199,13.38253,Private room,49.0,2,0,,1,303,Low price,Long term,Private host
14908,Friedrichshain-Kreuzberg,52.49228,13.4356,Private room,30.0,3,0,,2,0,Low price,Short term,Private host
14909,Neukölln,52.4794,13.42086,Entire home/apt,90.0,2,17,1.47,1,46,Middle price,Short term,Private host
14910,Lichtenberg,52.50266,13.48188,Entire home/apt,80.0,3,0,,1,87,Middle price,Short term,Private host
14911,Friedrichshain-Kreuzberg,52.50583,13.46618,Entire home/apt,66.0,3,4,0.24,1,0,Low price,Short term,Private host
14912,Friedrichshain-Kreuzberg,52.50217,13.45078,Entire home/apt,100.0,3,1,0.05,1,0,Middle price,Short term,Private host
14913,Charlottenburg-Wilm.,52.48703,13.3241,Private room,23.0,4,24,1.78,3,347,Low price,Long term,Commercial host
14914,Mitte,52.52634,13.39352,Entire home/apt,70.0,3,1,0.07,1,0,Low price,Short term,Private host
14915,Charlottenburg-Wilm.,52.48796,13.32483,Private room,20.0,4,7,0.43,3,154,Low price,Middle term,Commercial host
14916,Treptow - Köpenick,52.39974,13.56824,Entire home/apt,89.0,6,5,0.27,1,165,Middle price,Middle term,Private host
14917,Friedrichshain-Kreuzberg,52.51697,13.45636,Private room,80.0,4,1,0.05,1,0,Middle price,Short term,Private host
14918,Neukölln,52.4855,13.43275,Entire home/apt,90.0,2,1,0.06,1,0,Middle price,Short term,Private host
14919,Charlottenburg-Wilm.,52.50889,13.30474,Entire home/apt,70.0,5,0,,1,69,Low price,Short term,Private host
14920,Mitte,52.52899,13.402,Entire home/apt,100.0,3,0,,1,0,Middle price,Short term,Private host
14921,Neukölln,52.47803,13.42478,Private room,49.0,5,0,,1,270,Low price,Long term,Private host
14922,Tempelhof - Schöneberg,52.48759,13.34963,Entire home/apt,44.0,1,3,0.16,1,0,Low price,Short term,Private host
14923,Mitte,52.51373,13.41939,Private room,39.0,1,4,0.21,1,0,Low price,Short term,Private host
14924,Mitte,52.52973,13.38835,Entire home/apt,120.0,4,1,0.05,1,150,Middle price,Middle term,Private host
14925,Mitte,52.54998,13.34458,Private room,26.0,5,1,0.05,1,0,Low price,Short term,Private host
14926,Lichtenberg,52.53277,13.47075,Entire home/apt,200.0,3,1,0.05,1,365,Middle price,Long term,Private host
